Exposure,Exposure.Domain,Outcome.Name,Association,Outcome.Domain.Level.2,Outcome.Domain.Level.1,Biospecimen,Dataset_id,Datasets.Type,Dataset.Source,Linked.Dataset.ID,Linked.Dataset.Name
black carbon,Air Quality,systolic blood pressure,Positive,Cardiovascular Health,Health Outcome,,25625652,Literature,PubMed,,
PM2.5,Air Quality,systolic blood pressure,Positive,Cardiovascular Health,Health Outcome,,25625652,Literature,PubMed,,
O3,Air Quality,systolic blood pressure,Negative,Cardiovascular Health,Health Outcome,,25625652,Literature,PubMed,,
black carbon,Air Quality,gene expression levels,Positive,Cardiovascular Health,Health Outcome,,25564368,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Positive,Neurodevelopmental Disorders,Health Outcome,,25522338,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Positive,Neurodevelopmental Disorders,Health Outcome,,25522338,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Positive,Neurodevelopmental Disorders,Health Outcome,,25522338,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Null,Neurodevelopmental Disorders,Health Outcome,,25522338,Literature,PubMed,,
PM2.5,Air Quality,autism spectrum disorder,Null,Neurodevelopmental Disorders,Health Outcome,,25522338,Literature,PubMed,,
PM2.5,Air Quality,asthma symptoms,Positive,Respiratory Health,Health Outcome,,25460673,Literature,PubMed,,
PM2.5,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,25460673,Literature,PubMed,,
black carbon,Air Quality,fetal growth and infant weight gain,Positive,Pediatric Health,Health Outcome,,25437317,Literature,PubMed,,
PM2.5,Air Quality,fetal growth and infant weight gain,Null,Pediatric Health,Health Outcome,,25437317,Literature,PubMed,,
PM2.5,Air Quality,percent emphysema-like lung (between-city contrast),Positive,Respiratory Health,Health Outcome,,25302408,Literature,PubMed,,
PM2.5,Air Quality,percent emphysema-like lung (adjusted for study site),Negative,Respiratory Health,Health Outcome,,25302408,Literature,PubMed,,
PM2.5,Air Quality,FEV1 and FVC,Negative,Respiratory Health,Health Outcome,,25302408,Literature,PubMed,,
PM2.5,Air Quality,Parkinson's disease,Null,Neurological Health,Health Outcome,,25294559,Literature,PubMed,,
PM2.5,Air Quality,8-isoprostane in exhaled breath condensate,Positive,Respiratory Health,Health Outcome,exhaled breath condensate,25262082,Literature,PubMed,,
black carbon,Air Quality,8-isoprostane in exhaled breath condensate,Positive,Respiratory Health,Health Outcome,exhaled breath condensate,25262082,Literature,PubMed,,
black carbon,Air Quality,serum leptin concentrations,Positive,Cardiometabolic Health,Health Outcome,Serum,25192230,Literature,PubMed,,
NO2,Air Quality,forced expiratory flow between 25% and 75% of forced vital capacity (FEF25-75),Negative,Respiratory Health,Health Outcome,,25182844,Literature,PubMed,,
PM2.5,Air Quality,term low birth weight,Positive,Adverse Birth Outcomes,Health Outcome,,25173052,Literature,PubMed,,
PM2.5,Air Quality,preterm delivery (PTD),Positive,Adverse Birth Outcomes,Health Outcome,,25173052,Literature,PubMed,,
PM2.5,Air Quality,very PTD (VPTD),Positive,Adverse Birth Outcomes,Health Outcome,,25173052,Literature,PubMed,,
O3,Air Quality,preterm delivery (PTD),Positive,Adverse Birth Outcomes,Health Outcome,,25173052,Literature,PubMed,,
O3,Air Quality,very PTD (VPTD),Positive,Adverse Birth Outcomes,Health Outcome,,25173052,Literature,PubMed,,
O3,Air Quality,term low birth weight,Negative,Adverse Birth Outcomes,Health Outcome,,25173052,Literature,PubMed,,
PM2.5,Air Quality,doctor-diagnosed asthma,Positive,Respiratory Health,Health Outcome,,25172226,Literature,PubMed,,
PM2.5,Air Quality,incident wheeze,Positive,Respiratory Health,Health Outcome,,25172226,Literature,PubMed,,
PM2.5,Air Quality,chronic cough,Null,Respiratory Health,Health Outcome,,25172226,Literature,PubMed,,
NO2,Air Quality,incident wheeze,Positive,Respiratory Health,Health Outcome,,25172226,Literature,PubMed,,
NO2,Air Quality,chronic cough,Null,Respiratory Health,Health Outcome,,25172226,Literature,PubMed,,
PM2.5,Air Quality,incident ischemic heart disease in smelters,Positive,Cardiovascular Health,Health Outcome,,25125691,Literature,PubMed,,
PM2.5,Air Quality,incident ischemic heart disease in fabricators,Positive,Cardiovascular Health,Health Outcome,,25125691,Literature,PubMed,,
PM2.5,Air Quality,incident lung cancer,Positive,Oncology;Respiratory Health,Health Outcome,,24911062,Literature,PubMed,,
PM2.5,Air Quality,incident lung cancer in never-smokers and former smokers who had quit at least 10 years before,Positive,Oncology;Respiratory Health,Health Outcome,,24911062,Literature,PubMed,,
PM2.5 exposure during the fourth week of gestation,Air Quality,preterm birth during 20-27 weeks,Positive,Reproductive Health,Health Outcome,,24879653,Literature,PubMed,,
PM2.5 exposure during the fourth week of gestation,Air Quality,preterm birth during 28-31 weeks,Positive,Reproductive Health,Health Outcome,,24879653,Literature,PubMed,,
PM2.5 exposure during the fourth week of gestation,Air Quality,preterm birth during 32-34 weeks,Positive,Reproductive Health,Health Outcome,,24879653,Literature,PubMed,,
PM2.5 exposure during the fourth week of gestation,Air Quality,preterm birth during 35-36 weeks,Positive,Reproductive Health,Health Outcome,,24879653,Literature,PubMed,,
PM2.5 exposure during the week of birth,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,24879653,Literature,PubMed,,
PM2.5 exposure during the 2 weeks before birth,Air Quality,preterm birth,Positive,Reproductive Health,Health Outcome,,24879653,Literature,PubMed,,
PM2.5,Air Quality,C-reactive protein,Positive,Cardiovascular Health,Health Outcome,,24792413,Literature,PubMed,,
PM2.5,Air Quality,CRP greater than 3mg/l,Positive,Cardiovascular Health,Health Outcome,,24792413,Literature,PubMed,,
O3,Air Quality,small for gestational age,Positive,Adverse pregnancy outcomes,Health Outcome,,24769562,Literature,PubMed,,
O3,Air Quality,term low birth weight,Positive,Adverse pregnancy outcomes,Health Outcome,,24769562,Literature,PubMed,,
PM2.5,Air Quality,small for gestational age,Negative,Adverse pregnancy outcomes,Health Outcome,,24769562,Literature,PubMed,,
PM2.5,Air Quality,term low birth weight,Null,Adverse pregnancy outcomes,Health Outcome,,24769562,Literature,PubMed,,
NO2,Air Quality,FeNO,Positive,Respiratory Health,Health Outcome,Exhaled breath,24696513,Literature,PubMed,,
PM2.5,Air Quality,FeNO,Positive,Respiratory Health,Health Outcome,Exhaled breath,24696513,Literature,PubMed,,
O3,Air Quality,FeNO,Null,Respiratory Health,Health Outcome,Exhaled breath,24696513,Literature,PubMed,,
PM2.5,Air Quality,nonaccidental mortality in the cohort as a whole,Null,Cardiovascular Health;Mortality,Health Outcome,,24633320,Literature,PubMed,,
PM2.5,Air Quality,nonaccidental mortality among women,Negative,Cardiovascular Health;Mortality,Health Outcome,,24633320,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular mortality among men,Positive,Cardiovascular Health;Mortality,Health Outcome,,24633320,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular mortality among men who did not move from their enrollment address,Positive,Cardiovascular Health;Mortality,Health Outcome,,24633320,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular mortality in men (nonmoving participants with the most precise exposure geocoding),Positive,Cardiovascular Health;Mortality,Health Outcome,,24633320,Literature,PubMed,,
PM2.5,Air Quality,CESD-R score >= 16,Negative,Mental Health,Health Outcome,,24610154,Literature,PubMed,,
black carbon,Air Quality,depressive symptoms,Null,Mental Health,Health Outcome,,24610154,Literature,PubMed,,
"LUR-based estimates of NO, NO2 and NOx",Air Quality,biparietal diameter,Negative,Fetal Growth,Health Outcome,,24517884,Literature,PubMed,,
CO,Air Quality,biparietal diameter,Negative,Fetal Growth,Health Outcome,,24517884,Literature,PubMed,,
NO2,Air Quality,biparietal diameter,Negative,Fetal Growth,Health Outcome,,24517884,Literature,PubMed,,
PM2.5,Air Quality,oxygen saturation,Negative,Respiratory Health;Cardiovascular Health,Health Outcome,,24451609,Literature,PubMed,,
PM2.5,Air Quality,carotid intima-media thickness,Positive,Cardiovascular Health,Health Outcome,plasma;aorta;aortic plaque,24377210,Literature,PubMed,,
PM2.5,Air Quality,cardiovascular mortality,Positive,Cardiovascular Health,Health Outcome,plasma;aorta;aortic plaque,24377210,Literature,PubMed,,
PM2.5,Air Quality,birth weight,Negative,Birth Outcomes,Health Outcome,,24359709,Literature,PubMed,,
PM2.5 constituents,Air Quality,birth weight,Negative,Birth Outcomes,Health Outcome,,24359709,Literature,PubMed,,
PM2.5 constituents,Air Quality,low birth weight,Positive,Birth Outcomes,Health Outcome,,24359709,Literature,PubMed,,
NO2,Air Quality,IgM serologic responses to Msg,Negative,Infectious Disease;Pulmonary Health,Health Outcome,Serum,24236202,Literature,PubMed,,
PM2.5,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,24200465,Literature,PubMed,,
NO2,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,24200465,Literature,PubMed,,
O3,Air Quality,FEV1,Negative,Respiratory Health,Health Outcome,,24200465,Literature,PubMed,,
PM2.5,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,24200465,Literature,PubMed,,
NO2,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,24200465,Literature,PubMed,,
O3,Air Quality,FVC,Negative,Respiratory Health,Health Outcome,,24200465,Literature,PubMed,,
PM2.5,Air Quality,incident cognitive impairment,Null,Neurological Health,Health Outcome,,24086422,Literature,PubMed,,
PM2.5,Air Quality,incident cognitive impairment in urban areas,Positive,Neurological Health,Health Outcome,,24086422,Literature,PubMed,,
cadmium,Air Quality,ischemic heart disease (IHD),Positive,Cardiovascular Health;Respiratory Health;Oncology;Mortality,Health Outcome,,725789,Literature,PubMed,,
ambient temperature during preconception,Weather,polycystic ovary syndrome (PCOS),Positive,Reproductive Health,Health Outcome,,42204813,Literature,PubMed,,
ambient temperature during gestation,Weather,polycystic ovary syndrome (PCOS),Positive,Reproductive Health,Health Outcome,,42204813,Literature,PubMed,,
ambient temperature during childhood,Weather,polycystic ovary syndrome (PCOS),Positive,Reproductive Health,Health Outcome,,42204813,Literature,PubMed,,
ambient temperature during first-trimester,Weather,polycystic ovary syndrome (PCOS),Positive,Reproductive Health,Health Outcome,,42204813,Literature,PubMed,,
Daily maximum ambient temperature,Weather,preterm birth,Positive,Pregnancy and Birth Outcomes,Health Outcome,Serum,41270169,Literature,PubMed,,
Daily maximum ambient temperature,Weather,maternal metabolomic signatures,Positive,Pregnancy and Birth Outcomes,Health Outcome,Serum,41270169,Literature,PubMed,,
Indoor nighttime dry bulb temperature,Weather,Total sleep time,Negative,Sleep Health,Health Outcome,,41007535,Literature,PubMed,,
Indoor nighttime dry bulb temperature,Weather,Onset latency,Positive,Sleep Health,Health Outcome,,41007535,Literature,PubMed,,
Nighttime heat waves,Weather,Sleep efficiency,Negative,Sleep Health,Health Outcome,,41007535,Literature,PubMed,,
Nighttime heat waves,Weather,Onset latency,Positive,Sleep Health,Health Outcome,,41007535,Literature,PubMed,,
Elevated temperature,Weather,Fall incidents,Positive,Falls;Physical Activity,Health Outcome,,40831959,Literature,PubMed,,
ambient outdoor temperature,Weather,systolic blood pressure (SBP),Negative,Cardiovascular Health,Health Outcome,,40374966,Literature,PubMed,,
ambient outdoor temperature,Weather,diastolic blood pressure (DBP),Negative,Cardiovascular Health,Health Outcome,,40374966,Literature,PubMed,,
ambient temperature exposures during folliculogenesis and ovarian stimulation,Weather,oocyte yield,Negative,Reproductive Health,Health Outcome,oocytes,39952458,Literature,PubMed,,
ambient temperature exposures during folliculogenesis,Weather,oocyte survival,Positive,Reproductive Health,Health Outcome,oocytes,39952458,Literature,PubMed,,
ambient temperature exposures during ovarian stimulation,Weather,oocyte survival,Positive,Reproductive Health,Health Outcome,oocytes,39952458,Literature,PubMed,,
ambient maximum temperature (Tmax) during ovarian stimulation,Weather,oocyte fertilization,Positive,Reproductive Health,Health Outcome,oocytes,39952458,Literature,PubMed,,
initial core temperature,Weather,hypothermic cardiac arrest (HCA),Negative,Cardiovascular Health,Health Outcome,,39705852,Literature,PubMed,,
temperature,Weather,In-hospital mortality,Negative,Cardiovascular Health,Health Outcome,,39549264,Literature,PubMed,,
Maximum daily ambient temperature (t-max),Weather,Serious hypoglycaemia among non-insulin users of glimepiride and of glyburide,Positive,Type 2 diabetes;Glycaemic safety outcomes;Arrhythmogenic safety outcomes,Health Outcome,,39433419,Literature,PubMed,,
Maximum daily ambient temperature (t-max),Weather,Serious hypoglycaemia among non-insulin users of glipizide,Null,Type 2 diabetes;Glycaemic safety outcomes;Arrhythmogenic safety outcomes,Health Outcome,,39433419,Literature,PubMed,,
Maximum daily ambient temperature (t-max),Weather,Diabetic ketoacidosis (DKA) among users of sitagliptin,Negative,Type 2 diabetes;Glycaemic safety outcomes;Arrhythmogenic safety outcomes,Health Outcome,,39433419,Literature,PubMed,,
Maximum daily ambient temperature (t-max),Weather,Diabetic ketoacidosis (DKA) among users of exenatide,Null,Type 2 diabetes;Glycaemic safety outcomes;Arrhythmogenic safety outcomes,Health Outcome,,39433419,Literature,PubMed,,
Maximum daily ambient temperature (t-max),Weather,"Sudden cardiac arrest among users of SUs, meglitinides, exenatide, or DPP-4is",Null,Type 2 diabetes;Glycaemic safety outcomes;Arrhythmogenic safety outcomes,Health Outcome,,39433419,Literature,PubMed,,
relative humidity,Weather,preeclampsia,Positive,Maternal Health;Cardiovascular Health,Health Outcome,,38782342,Literature,PubMed,,
relative humidity,Weather,preeclampsia,Positive,Maternal Health;Cardiovascular Health,Health Outcome,,38782342,Literature,PubMed,,
temperature,Weather,preeclampsia,Null,Maternal Health;Cardiovascular Health,Health Outcome,,38782342,Literature,PubMed,,
relative humidity,Weather,gestational hypertension,Null,Maternal Health;Cardiovascular Health,Health Outcome,,38782342,Literature,PubMed,,
temperature,Weather,gestational hypertension,Null,Maternal Health;Cardiovascular Health,Health Outcome,,38782342,Literature,PubMed,,
"Ambient temperature (>95th percentile vs <25th percentile, aged >=65)",Weather,Heat-related ED visits,Positive,Cardiovascular Health;Renal Health;Heat-related Illness,Health Outcome,,38613874,Literature,PubMed,,
"Ambient temperature (>95th percentile vs <25th percentile, aged >=65)",Weather,All-cause acute hospitalization,Positive,Cardiovascular Health;Renal Health;Heat-related Illness,Health Outcome,,38613874,Literature,PubMed,,
"Ambient temperature (>95th percentile vs <25th percentile, aged <65)",Weather,Heat-related ED visits,Positive,Cardiovascular Health;Renal Health;Heat-related Illness,Health Outcome,,38613874,Literature,PubMed,,
"Ambient temperature (>95th percentile vs <25th percentile, aged <65)",Weather,All-cause ED visits,Positive,Cardiovascular Health;Renal Health;Heat-related Illness,Health Outcome,,38613874,Literature,PubMed,,
ambient temperature,Weather,CV-related ED visits,Null,Cardiovascular Health;Renal Health;Heat-related Illness,Health Outcome,,38613874,Literature,PubMed,,
ambient temperature,Weather,Renal-related ED visits,Null,Cardiovascular Health;Renal Health;Heat-related Illness,Health Outcome,,38613874,Literature,PubMed,,
Seasonal ambient temperature,Weather,Hypothermia,Positive,Trauma Care,Health Outcome,,38015941,Literature,PubMed,,
Seasonal ambient temperature,Weather,Emergency department temperature,Negative,Trauma Care,Health Outcome,,38015941,Literature,PubMed,,
Seasonality adjusted for temperature,Weather,FEV1 fluctuation,Positive,Respiratory Health,Health Outcome,,35125553,Literature,PubMed,,
temperature,Weather,systolic blood pressure (SBP),Negative,Hypertension,Health Outcome,Serum,32106744,Literature,PubMed,,
ambient temperature (>10 °C),Weather,NGAL,Positive,Renal Health,Health Outcome,Whole blood,31605868,Literature,PubMed,,
ambient temperature (>10 °C),Weather,adiponectin,Positive,Renal Health,Health Outcome,Whole blood,31605868,Literature,PubMed,,
ambient temperature (<10 °C),Weather,NGAL,Null,Renal Health,Health Outcome,Whole blood,31605868,Literature,PubMed,,
ambient temperature (<10 °C),Weather,adiponectin,Null,Renal Health,Health Outcome,Whole blood,31605868,Literature,PubMed,,
ambient temperature (>10 °C),Weather,plasma NGAL levels consistent with acute kidney injury (>150 μg/L),Positive,Renal Health,Health Outcome,Whole blood,31605868,Literature,PubMed,,
ambient temperature,Other,stability of Scope mouthwash samples (Shannon index),Positive,Other,Health Outcome,Scope mouthwash;saliva;oral samples,30776752,Literature,PubMed,,
ambient temperature,Other,Shannon index,Positive,Microbiome,Health Outcome,Scope mouthwash;saliva;OMNIgene ORAL Kit,30262598,Literature,PubMed,,
heat wave,Weather,Stroop color-word test (STROOP) reaction time,Positive,Cognitive Health,Health Outcome,,29990359,Literature,PubMed,,
heat wave,Weather,"2-digit, visual addition/subtraction test (ADD) reaction time",Positive,Cognitive Health,Health Outcome,,29990359,Literature,PubMed,,
heat wave,Weather,Stroop color-word test (STROOP) throughput,Negative,Cognitive Health,Health Outcome,,29990359,Literature,PubMed,,
heat wave,Weather,"2-digit, visual addition/subtraction test (ADD) throughput",Negative,Cognitive Health,Health Outcome,,29990359,Literature,PubMed,,
Indoor temperature,Weather,Stroop color-word test (STROOP) reaction time,Positive,Cognitive Health,Health Outcome,,29990359,Literature,PubMed,,
Indoor temperature,Weather,"2-digit, visual addition/subtraction test (ADD) reaction time",Positive,Cognitive Health,Health Outcome,,29990359,Literature,PubMed,,
1°C increase in temperature during the week preceding delivery,Weather,stillbirth,Positive,Pregnancy Outcomes,Health Outcome,,28650842,Literature,PubMed,,
ambient temperature,Weather,FIT positivity rate,Negative,Colorectal Cancer Screening,Health Outcome,Fecal samples,28076249,Literature,PubMed,,
ambient temperature,Weather,FIT sensitivity to detect CRC,Negative,Colorectal Cancer Screening,Health Outcome,Fecal samples,28076249,Literature,PubMed,,
Residential air temperature,Weather,Mini-Mental State Examination (MMSE) scores,Positive,Neurological Health,Health Outcome,,27391696,Literature,PubMed,,
temperature,Weather,net annual C uptake,Positive,Plant Physiology,Health Outcome,needles,26220656,Literature,PubMed,,
temperature,Weather,contribution of Y0 cohorts to annual C uptake,Negative,Plant Physiology,Health Outcome,needles,26220656,Literature,PubMed,,
heat,Other,semen quality,Null,Reproductive Health,Health Outcome,Semen,25765658,Literature,PubMed,,
Estimated indoor temperature,Weather,Ventricular arrhythmia (VA),Negative,Cardiovascular Health,Health Outcome,,24169878,Literature,PubMed,,
Absolute humidity,Weather,Ventricular arrhythmia (VA),Negative,Cardiovascular Health,Health Outcome,,24169878,Literature,PubMed,,
outdoor temperature,Weather,Ventricular arrhythmia (VA),Negative,Cardiovascular Health,Health Outcome,,24169878,Literature,PubMed,,
ambient temperature,Weather,cognition,Null,Neurological Health;Other,Health Outcome,,23064870,Literature,PubMed,,
ambient temperature,Weather,dynamic postural balance,Negative,Neurological Health;Other,Health Outcome,,23064870,Literature,PubMed,,
mean temperature,Weather,urine calcium,Positive,Nephrolithiasis,Health Outcome,Urine,22578009,Literature,PubMed,,
mean temperature,Weather,super-saturation of calcium oxalate,Positive,Nephrolithiasis,Health Outcome,Urine,22578009,Literature,PubMed,,
mean temperature,Weather,super-saturation of calcium phosphate,Positive,Nephrolithiasis,Health Outcome,Urine,22578009,Literature,PubMed,,
mean temperature,Weather,urine sodium,Negative,Nephrolithiasis,Health Outcome,Urine,22578009,Literature,PubMed,,
average humidity,Weather,24-h urine constituents,Null,Nephrolithiasis,Health Outcome,Urine,22578009,Literature,PubMed,,
daily high temperature,Weather,heat related deaths,Positive,Heat-related mortality,Health Outcome,,22527742,Literature,PubMed,,
ambient temperature,Weather,Testicular torsion visits,Positive,Urological Health,Health Outcome,,22134234,Literature,PubMed,,
ambient temperature,Weather,ETEC infection,Positive,Gastrointestinal Health,Health Outcome,stool sample,21366796,Literature,PubMed,,
ambient temperature,Weather,EPEC infection,Null,Gastrointestinal Health,Health Outcome,stool sample,21366796,Literature,PubMed,,
ambient temperature,Weather,EAEC infection,Null,Gastrointestinal Health,Health Outcome,stool sample,21366796,Literature,PubMed,,
topical radiant heating,Other,local dermal blood flow,Positive,Wound Healing,Health Outcome,Skin biopsies,16722872,Literature,PubMed,,
topical radiant heating,Other,CD3 immunoreactivity,Positive,Wound Healing,Health Outcome,Skin biopsies,16722872,Literature,PubMed,,
heat index,Other,Intermittent nonattendance,Positive,Physical Activity;Behavioral Health,Health Outcome,,15851821,Literature,PubMed,,
Sunlight hours,Other,Attendance,Negative,Physical Activity;Behavioral Health,Health Outcome,,15851821,Literature,PubMed,,
O3,Air Quality,emergency department (ED) use for asthma,Positive,Respiratory Health,Health Outcome,,10351917,Literature,PubMed,,
PM2.5,Other,birthweight,Negative,Birth Outcomes,Health Outcome,,42118800,Literature,PubMed,,
O3,Other,birthweight,Positive,Birth Outcomes,Health Outcome,,42118800,Literature,PubMed,,
vegetation greenness,Other,birthweight,Positive,Birth Outcomes,Health Outcome,,42118800,Literature,PubMed,,
O3,Air Quality,late PTB (fifth 4-week period),Positive,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,late PTB (sixth 4-week period),Positive,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,late PTB (seventh 4-week period),Positive,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,moderate PTB (fifth 4-week period),Positive,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,moderate PTB (seventh 4-week period),Positive,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,severe PTB (fifth 4-week period),Positive,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,severe PTB (first 4-week period),Negative,Reproductive Health,Health Outcome,,25944700,Literature,PubMed,,
O3,Air Quality,total mortality in summer,Positive,Mortality,Health Outcome,,18513427,Literature,PubMed,,
O3,Air Quality,total mortality in June,Positive,Mortality,Health Outcome,,18513427,Literature,PubMed,,
O3,Air Quality,total mortality in July,Positive,Mortality,Health Outcome,,18513427,Literature,PubMed,,
O3,Air Quality,total mortality in autumn and winter,Null,Mortality,Health Outcome,,18513427,Literature,PubMed,,
O3,Air Quality,total mortality in September,Null,Mortality,Health Outcome,,18513427,Literature,PubMed,,
personal temperature,Weather,outdoor temperature,Positive,Reproductive Health,Health Outcome,,41764349,Literature,PubMed,,
heat index,Weather,total mortality,Positive,Mortality;Cardiovascular Health;Oncology,Health Outcome,,40962003,Literature,PubMed,,
heat index,Weather,cardiovascular disease (CVD) mortality,Positive,Mortality;Cardiovascular Health;Oncology,Health Outcome,,40962003,Literature,PubMed,,
summer average specific humidity,Weather,cardiovascular disease (CVD) hospitalization,Positive,Cardiovascular Health,Health Outcome,,37683506,Literature,PubMed,,
summer average specific humidity,Weather,coronary heart disease (CHD) hospitalization,Positive,Cardiovascular Health,Health Outcome,,37683506,Literature,PubMed,,
summer average specific humidity,Weather,cerebrovascular disease (CBV) hospitalization,Positive,Cardiovascular Health,Health Outcome,,37683506,Literature,PubMed,,
summer specific humidity variability,Weather,cardiovascular disease (CVD) hospitalization,Positive,Cardiovascular Health,Health Outcome,,37683506,Literature,PubMed,,
summer specific humidity variability,Weather,coronary heart disease (CHD) hospitalization,Positive,Cardiovascular Health,Health Outcome,,37683506,Literature,PubMed,,
summer specific humidity variability,Weather,cerebrovascular disease (CBV) hospitalization,Positive,Cardiovascular Health,Health Outcome,,37683506,Literature,PubMed,,
temperature,Weather,lesion growth rate,Positive,Plant Health,Health Outcome,foliar lesions,37147578,Literature,PubMed,,
relative humidity,Weather,lesion growth rate,Null,Plant Health,Health Outcome,foliar lesions,37147578,Literature,PubMed,,
summer average daily maximum temperature,Weather,first cardiovascular disease (CVD) hospitalization,Positive,Cardiovascular Health,Health Outcome,,36334826,Literature,PubMed,,
winter average daily maximum temperature,Weather,first cardiovascular disease (CVD) hospitalization,Negative,Cardiovascular Health,Health Outcome,,36334826,Literature,PubMed,,
Individually experienced heat index,Weather,Time to heat strain,Positive,Occupational Health,Health Outcome,,35759147,Literature,PubMed,,
Individually experienced heat index,Weather,Heat strain occurrence,Positive,Occupational Health,Health Outcome,,35759147,Literature,PubMed,,
heat index,Other,interaction with trees,Positive,Pediatric Health;Physical Activity;Socioemotional Well-being,Health Outcome,,33413276,Literature,PubMed,,
High temperature,Weather,all-cause mortality,Positive,All-cause mortality,Health Outcome,,30886182,Literature,PubMed,,
apparent temperature over the full gestation above 55°F,Weather,term low birth weight,Positive,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
apparent temperature during third-trimester above 60°F,Weather,term low birth weight,Positive,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
apparent temperature during the first month of pregnancy,Weather,term low birth weight,Null,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
apparent temperature during the first trimester,Weather,term low birth weight,Negative,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
apparent temperature during second trimester,Weather,term low birth weight,Positive,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
apparent temperature during last month,Weather,term low birth weight,Positive,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
apparent temperature during last 2 weeks,Weather,term low birth weight,Positive,Perinatal Health,Health Outcome,,29901701,Literature,PubMed,,
relative humidity,Other,MRSA colonization,Positive,Infectious Disease,Health Outcome,Nasal swabs;Perianal swabs,28558010,Literature,PubMed,,
relative humidity,Other,VRE colonization,Positive,Infectious Disease,Health Outcome,Nasal swabs;Perianal swabs,28558010,Literature,PubMed,,
wet-bulb globe temperature (WBGT) index,Weather,exertional heat illness (EHI),Positive,Exertional Heat Illness,Health Outcome,,15632673,Literature,PubMed,,
temperature,Other,Der p 1 concentration,Negative,,Health Outcome,house dust;living room dust;mattress dust,15147450,Literature,PubMed,,
temperature,Other,Der f 1 concentration,Negative,,Health Outcome,house dust;living room dust;mattress dust,15147450,Literature,PubMed,,
NO2,Other,mortality,Positive,Tuberculosis,Health Outcome,,37608175,Literature,PubMed,,
CO,Other,mortality,Positive,Tuberculosis,Health Outcome,,37608175,Literature,PubMed,,
O3,Air Quality,asthma-related emergency department visits (AREDV),Positive,Respiratory Health,Health Outcome,,30359141,Literature,PubMed,,
cadmium,Other,bronchitis,Null,Cerebrovascular Health;Respiratory Health;Oncology,Health Outcome,,19533624,Literature,PubMed,,
diffusing capacity for carbon monoxide,Other,IL-6,Positive,Oncology;Pulmonary Health,Health Outcome,archival formalin-fixed paraffin-embedded tumor specimens,42123542,Literature,PubMed,,
diffusing capacity for carbon monoxide,Other,IL-6R,Positive,Oncology;Pulmonary Health,Health Outcome,archival formalin-fixed paraffin-embedded tumor specimens,42123542,Literature,PubMed,,
Percentage of diffusion capacity of lung for carbon monoxide,Other,Perioperative pulmonary complication,Positive,Oncology;Perioperative Care,Health Outcome,,31539514,Literature,PubMed,,
lifetime cumulative O3 exposure,Air Quality,plasma clara cell protein (CC16) level,Positive,Respiratory Health,Health Outcome,blood;bronchoalveolar lavage,18332784,Literature,PubMed,,
lifetime cumulative O3 exposure,Air Quality,lower respiratory symptoms,Positive,Respiratory Health,Health Outcome,blood;bronchoalveolar lavage,18332784,Literature,PubMed,,
lifetime cumulative O3 exposure,Air Quality,lung function,Null,Respiratory Health,Health Outcome,blood;bronchoalveolar lavage,18332784,Literature,PubMed,,
PM2.5,Air Quality,afternoon augmentation index,Positive,Cardiovascular Health,Health Outcome,,18300696,Literature,PubMed,,
PM2.5,Air Quality,next-morning augmentation index,Negative,Cardiovascular Health,Health Outcome,,18300696,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality (American Cancer Society counties),Positive,Mortality,Health Outcome,,18223484,Literature,PubMed,,
PM2.5,Air Quality,all-cause mortality (Harvard Six Cities study counties),Positive,Mortality,Health Outcome,,18223484,Literature,PubMed,,
PM2.5,Air Quality,asthma,Null,Respiratory Health,Health Outcome,,18008001,Literature,PubMed,,
NO2,Air Quality,asthma,Null,Respiratory Health,Health Outcome,,18008001,Literature,PubMed,,
O3,Air Quality,asthma,Null,Respiratory Health,Health Outcome,,18008001,Literature,PubMed,,
